31855000.1283	0.0 	0.555966304503	1690000.0	90000.0
31854854.6282	47.1646144378 	55596.8490447	1689998.75689	90036.7820281
31854418.3896	94.3346515567 	111191.581406	1689994.9324	90076.1623816
31853691.7857	141.506193748 	166783.199517	1689988.41227	90118.2582722
31852675.2038	188.676632369 	222370.157507	1689979.08202	90163.1871224
31851369.0453	235.846185554 	277950.917336	1689966.82698	90211.0665331
31849773.7256	283.020023879 	333523.948945	1689951.53238	90262.0142461
31847889.6735	330.211004247 	389087.730407	1689933.08332	90316.1480974
31845717.3314	377.443011875 	444640.748073	1689911.36493	90373.5859496
31843257.1549	424.754909415 	500181.496695	1689886.26239	90434.4455902
31840509.6119	472.205090517 	555708.479544	1689857.66112	90498.8445753
31837475.182	519.876632078 	611220.208481	1689825.44705	90566.8999911
31834154.3557	567.883034407 	666715.203995	1689789.50691	90638.7281004
31830547.6322	616.374530523 	722191.995166	1689749.7288	90714.4438289
31826655.5175	665.544933794 	777649.119526	1689706.00289	90794.1600411
31822478.5209	715.638975677 	833085.122793	1689658.22241	90877.9865434
31818017.1514	766.96006079 	888498.558406	1689606.28501	90966.028741
31813271.9116	819.878333083 	943887.986825	1689550.09455	91058.3858665
31808243.2909	874.838902257 	999251.974498	1689489.56333	91155.1486872
31802931.7568	932.370021532 	1054589.09242	1689424.61508	91256.3965895
31797337.743	993.09093384 	1109897.9142	1689355.18857	91362.1939297
31791461.6363	1057.7190112 	1165177.01341	1689281.24209	91472.5855417
31785303.7597	1127.07569903 	1220424.96031	1689202.75895	91587.5912885
31778864.3527	1202.09064209 	1275640.31751	1689119.75394	91707.1995572
31772143.5476	1283.80321046 	1330821.63465	1689032.28098	91831.3596151
31765141.3431	1373.36046426 	1385967.44188	1688940.44198	91959.9727794
31757857.5736	1472.01039663 	1441076.24189	1688844.39683	92092.8824021
31750291.875	1581.08908412 	1496146.50062	1688744.37453	92229.8627489
31742443.6477	1702.00016156 	1551176.63631	1688640.68522	92370.6069494
31734312.0182	1836.1848437 	1606165.00717	1688533.73289	92514.7143337
31725895.7983	1985.08056168 	1661109.89757	1688424.02812	92661.6776392
31717193.4473	2150.06620435 	1716009.50322	1688312.20036	92810.8707826
31708203.0367	2332.39199733 	1770861.91574	1688199.00858	92961.5381434
31698922.2233	2533.0922741 	1825665.10741	1688085.34932	93112.7865857
31689348.234	2752.87986385 	1880416.9172	1687972.26035	93263.5817584
31679477.8678	2992.02162282 	1935115.03949	1687860.91822	93412.7505187
31669307.5231	3250.19586004 	1989757.01759	1687752.62764	93558.9916138
31658833.2562	3526.33414873 	2044340.24419	1687648.80014	93700.8969726
31648050.8805	3818.45235621 	2098861.97186	1687550.91972	93836.9860569
31636956.1143	4123.47872916 	2153319.33674	1687460.49308	93965.7556367
31625544.7867	4437.09055034 	2207709.39908	1687378.9824	94085.747019
31613813.1058	4753.57517165 	2262029.20418	1687307.71927	94195.6320995
31601757.9966	5065.73594331 	2316275.86701	1687247.79948	94294.318576
31589377.5037	5364.86835288 	2370446.68291	1687199.95976	94381.073206
31576671.2541	5640.83600381 	2424539.26494	1687164.43951	94455.6601099
31563640.9612	5882.27908829 	2478551.7062	1687140.8327	94518.4888187
31550290.9415	6076.98864934 	2532482.76158	1687127.93812	94570.7640704
31536628.5996	6212.4768111 	2586332.03852	1687123.61889	94614.6263077
31522664.8246	6276.7646983 	2640100.1808	1687124.68575	94653.268405
31508414.22	6259.3943074 	2693789.02254	1687126.82239	94691.0103424
31493895.0821	6152.64666251 	2747401.68259	1687124.57536	94733.3093335
31479129.0279	5952.91529758 	2800942.56394	1687111.43544	94786.6784611
31464140.1801	5662.14168362 	2854417.21867	1687080.04157	94858.4828165
31448953.8314	5289.16969271 	2907832.03988	1687022.54034	94956.5799801
31433594.5482	4850.8241085 	2961193.74902	1686931.13183	95088.7742695
31418083.7339	4372.47128384 	3014508.66325	1686798.82043	95262.0658656
31402436.7616	3887.78956967 	3067781.75429	1686620.36364	95481.7020692
31386659.8966	3437.47762608 	3121015.54925	1686393.36621	95750.0831232
31370747.3584	3066.67674232 	3174208.97303	1686119.40238	96065.6398997
31354678.9995	2820.99484736 	3227356.28755	1685804.9721	96421.8776443
31338419.1796	2741.20626661 	3280446.33676	1685462.02753	96806.8493597
31321917.4521	2856.96330434 	3333462.34461	1685107.7759	97203.352798
31305111.6182	3180.17708551 	3386382.52027	1684763.50979	97590.100044
31287933.497	3699.06585681 	3439181.67983	1684452.36182	97943.9627353
31270317.3825	4374.16147462 	3491833.98103	1684196.12121	98243.1554188
31252210.6135	5137.7147665 	3544316.67553	1684011.53093	98470.9383944
31233585.0057	5897.83638781 	3596614.51912	1683906.70954	98619.1959773
31214447.1976	6548.24433462 	3648724.17273	1683878.41148	98691.1764376
31194845.403	6983.59362162 	3700657.63645	1683910.71492	98702.8044143
31174869.8786	7119.05350408 	3752443.57702	1683975.48466	98682.2183547
31154644.8373	6911.22275329 	3804125.44833	1684034.77194	98667.3711055
31134310.7735	6375.95435735 	3855755.67352	1684045.31897	98701.5256427
31113998.2556	5597.68743821 	3907385.9215	1683965.42991	98826.3843645
31093796.976	4725.04606633 	3959054.63236	1683764.21532	99072.8445493
31073726.6629	3949.29280226 	4010774.24078	1683432.09773	99450.4924874
31053718.4502	3465.94695922 	4062521.65373	1682989.49779	99938.9166159
31033615.3806	3425.1428656 	4114235.96188	1682488.92287	100485.617841
31013197.9122	3881.98248532 	4165826.59695	1682006.19512	101014.780472
30992234.284	4762.33966605 	4217192.87495	1681620.5187	101447.20426
